"Qty","Value","Device","Package","Parts","Description","MF","MPN","OC_FARNELL","OC_NEWARK","SPICEMODEL","SPICEPREFIX","SPICEPREFIXL",
"1","","MA12-2","MA12-2","SV1","PIN HEADER","","","unknown","unknown","","","",
"1","0.15u","C-EU050-024X044","C050-024X044","C1","CAPACITOR, European symbol","","","","","","","",
"1","0.1u","C-EU050-024X044","C050-024X044","C10","CAPACITOR, European symbol","","","","","","","",
"1","0.22u","C-EU050-024X044","C050-024X044","C25","CAPACITOR, European symbol","","","","","","","",
"6","100k","R-TRIMM64W","RTRIM64W","R1, R2, R20, R23, R27, R34","Trimm resistor","","","","","X","","POT",
"2","100k","R-US_0207/10","0207/10","R5, R17","RESISTOR, American symbol","","","","","","","",
"8","100n","C-EU050-024X044","C050-024X044","C2, C3, C7, C20, C21, C22, C23, C26","CAPACITOR, European symbol","","","","","","","",
"4","100uF","CPOL-USE5-8.5","E5-8,5","C14, C15, C16, C17","POLARIZED CAPACITOR, American symbol","","","","","","C","",
"4","10k","R-TRIMM64W","RTRIM64W","R8, R9, R35, R37","Trimm resistor","","","","","X","","POT",
"7","10k","R-US_0207/10","0207/10","R3, R10, R11, R12, R19, R26, R31","RESISTOR, American symbol","","","","","","","",
"1","10uF","CPOL-USE2.5-6","E2,5-6","C24","POLARIZED CAPACITOR, American symbol","","","","","","C","",
"1","11k","R-US_0207/10","0207/10","R36","RESISTOR, American symbol","","","","","","","",
"2","1M","R-US_0207/10","0207/10","R22, R33","RESISTOR, American symbol","","","","","","","",
"4","1N4148DO35-7","1N4148DO35-7","DO35-7","D1, D2, D3, D4","DIODE","","","","","","","",
"2","1k","R-US_0207/10","0207/10","R28, R32","RESISTOR, American symbol","","","","","","","",
"3","1u","C-EU050-024X044","C050-024X044","C5, C18, C19","CAPACITOR, European symbol","","","","","","","",
"4","2.2u","C-EU050-024X044","C050-024X044","C4, C6, C8, C9","CAPACITOR, European symbol","","","","","","","",
"1","2.7k","R-US_0207/10","0207/10","R15","RESISTOR, American symbol","","","","","","","",
"1","220","R-US_0207/10","0207/10","R13","RESISTOR, American symbol","","","","","","","",
"1","2200k","R-US_0207/10","0207/10","R7","RESISTOR, American symbol","","","","","","","",
"2","22k","R-US_0207/10","0207/10","R25, R30","RESISTOR, American symbol","","","","","","","",
"2","22n","C-EU050-024X044","C050-024X044","C11, C12","CAPACITOR, European symbol","","","","","","","",
"3","2N3904","2N3904","TO92","T2, T3, T4","NPN TRANSISTOR","","","","","","","",
"2","2N3906","2N3906","TO92","Q1, Q2","PNP Transistor","","","","","","","",
"3","4.7k","R-US_0207/10","0207/10","R4, R6, R18","RESISTOR, American symbol","","","","","","","",
"3","47k","R-US_0207/10","0207/10","R14, R21, R24","RESISTOR, American symbol","","","","","","","",
"1","47n","C-EU050-024X044","C050-024X044","C13","CAPACITOR, European symbol","","","","","","","",
"1","560","R-US_0207/10","0207/10","R29","RESISTOR, American symbol","","","","","","","",
"1","8.2k","R-US_0207/10","0207/10","R16","RESISTOR, American symbol","","","","","","","",
"5","LM741P","LM741P","DIL08","IC1, IC2, IC3, IC4, IC5","OP AMP","","","","","","","",
